Sub-Category ,Product_Name,Model_Number,Size,Power_W,Voltage,CCT,CRI_RA,Lumen,Efficacy_Lumen_per_W,Dimming_Type,Material_Finish,Sensors_and_Controls,Occupancy,Bi_Level,PIR_Microwave_Bluetooth,Remote Control,Plugin _Sensor,Emergency_Backup_Battery,Junction_Cover,Mounting,Installation_Kits,Adjustment_Dial,Certifications,Price_per_Piece,Lead_Time,Cut_Sheet,Warranty,MOQ,COST_China_DDP_USA,COST_Thailand_Vietnam,Photo,IP_Rating
LED Linear Series,Strip Light,ARVL-HY-2FT-LS100-20W3CCT,2ft,20W,AC120-277Vac,4/5/6k (Tunable),80,2600LM,130lm/w,0-10V,White-Aluminum,Occupancy,yes,,"PIR,Microwave,Bluetooth",,,no,,Surface/Suspension/Linkable,no kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$9.80 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-2FT-LS100-20W3CCT,2ft,20W,AC120-277Vac,4/5/6k (Tunable),80,2600LM,130lm/w,0-10V,White-Aluminum,Occupancy,yes,,"PIR,Microwave,Bluetooth",,,yes,,Surface/Suspension/Linkable,no kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$9.80 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-2FT-LS100-20W3CCT,2ft,20W,AC120-277Vac,4/5/6k (Tunable),80,2600LM,130lm/w,0-10V,White-Aluminum,Occupancy,yes,,"PIR,Microwave,Bluetooth",,,yes,,Surface/Suspension/Linkable,Linkable Kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$9.80 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-2FT-LS100-20W3CCT,2ft,20W,AC120-277Vac,4/5/6k (Tunable),80,2600LM,130lm/w,0-10V,White-Aluminum,Occupancy,yes,,"PIR,Microwave,Bluetooth",,,no,,Surface/Suspension/Linkable,Linkable Kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$9.80 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED Linear Series,Strip Light,ARVL-HY-4FT-LS100-3W3CCT,4ft,20W/30W/40W,AC120-277Vac,4/5/6k (Tunable),80,2600/3900/5200LM,130lm/w,0-10V,White-Aluminum,no,,,,,,no,,Surface/Suspension/Linkable,no kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-4FT-LS100-3W3CCT,4ft,20W/30W/40W,AC120-277Vac,4/5/6k (Tunable),80,2600/3900/5200LM,130lm/w,0-10V,White-Aluminum,no,,,,,,yes,,Surface/Suspension/Linkable,no kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-4FT-LS100-3W3CCT,4ft,20W/30W/40W,AC120-277Vac,4/5/6k (Tunable),80,2600/3900/5200LM,130lm/w,0-10V,White-Aluminum,no,,,,,,yes,,Surface/Suspension/Linkable,Linkable Kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-4FT-LS100-3W3CCT,4ft,20W/30W/40W,AC120-277Vac,4/5/6k (Tunable),80,2600/3900/5200LM,130lm/w,0-10V,White-Aluminum,no,,,,,,no,,Surface/Suspension/Linkable,Linkable Kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-4FT-LS100-3W3CCT,4ft,20W/30W/40W,AC120-277Vac,4/5/6k (Tunable),80,2600/3900/5200LM,130lm/w,0-10V,White-Aluminum,B-Level,,yes,"PIR,Microwave,Bluetooth",,,no,,Surface/Suspension/Linkable,no kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-4FT-LS100-3W3CCT,4ft,20W/30W/40W,AC120-277Vac,4/5/6k (Tunable),80,2600/3900/5200LM,130lm/w,0-10V,White-Aluminum,B-Level,,yes,"PIR,Microwave,Bluetooth",,,yes,,Surface/Suspension/Linkable,no kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-4FT-LS100-3W3CCT,4ft,20W/30W/40W,AC120-277Vac,4/5/6k (Tunable),80,2600/3900/5200LM,130lm/w,0-10V,White-Aluminum,B-Level,,yes,"PIR,Microwave,Bluetooth",,,yes,,Surface/Suspension/Linkable,Linkable Kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-4FT-LS100-3W3CCT,4ft,20W/30W/40W,AC120-277Vac,4/5/6k (Tunable),80,2600/3900/5200LM,130lm/w,0-10V,White-Aluminum,B-Level,,yes,"PIR,Microwave,Bluetooth",,,no,,Surface/Suspension/Linkable,Linkable Kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-4FT-LS100-3W3CCT,4ft,20W/30W/40W,AC120-277Vac,4/5/6k (Tunable),80,2600/3900/5200LM,130lm/w,0-10V,White-Aluminum,Occupancy,yes,,"PIR,Microwave,Bluetooth",,,no,,Surface/Suspension/Linkable,no kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-4FT-LS100-3W3CCT,4ft,20W/30W/40W,AC120-277Vac,4/5/6k (Tunable),80,2600/3900/5200LM,130lm/w,0-10V,White-Aluminum,Occupancy,yes,,"PIR,Microwave,Bluetooth",,,yes,,Surface/Suspension/Linkable,no kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-4FT-LS100-3W3CCT,4ft,20W/30W/40W,AC120-277Vac,4/5/6k (Tunable),80,2600/3900/5200LM,130lm/w,0-10V,White-Aluminum,Occupancy,yes,,"PIR,Microwave,Bluetooth",,,yes,,Surface/Suspension/Linkable,Linkable Kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-4FT-LS100-3W3CCT,4ft,20W/30W/40W,AC120-277Vac,4/5/6k (Tunable),80,2600/3900/5200LM,130lm/w,0-10V,White-Aluminum,Occupancy,yes,,"PIR,Microwave,Bluetooth",,,no,,Surface/Suspension/Linkable,Linkable Kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED Linear Series,Strip Light,ARVL-HY-8FT-LS100-3W3CCT,8ft,40/W/50W/60W,AC120-277Vac,4/5/6k (Tunable),80,5200/6500/7800LM,130lm/w,0-10V,White-Aluminum,no,,,,,,no,,Surface/Suspension/Linkable,no kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-8FT-LS100-3W3CCT,8ft,40/W/50W/60W,AC120-277Vac,4/5/6k (Tunable),80,5200/6500/7800LM,130lm/w,0-10V,White-Aluminum,no,,,,,,yes,,Surface/Suspension/Linkable,no kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-8FT-LS100-3W3CCT,8ft,40/W/50W/60W,AC120-277Vac,4/5/6k (Tunable),80,5200/6500/7800LM,130lm/w,0-10V,White-Aluminum,no,,,,,,yes,,Surface/Suspension/Linkable,Linkable Kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-8FT-LS100-3W3CCT,8ft,40/W/50W/60W,AC120-277Vac,4/5/6k (Tunable),80,5200/6500/7800LM,130lm/w,0-10V,White-Aluminum,no,,,,,,no,,Surface/Suspension/Linkable,Linkable Kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-8FT-LS100-3W3CCT,8ft,40/W/50W/60W,AC120-277Vac,4/5/6k (Tunable),80,5200/6500/7800LM,130lm/w,0-10V,White-Aluminum,B-Level,,yes,"PIR,Microwave,Bluetooth",,,no,,Surface/Suspension/Linkable,no kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-8FT-LS100-3W3CCT,8ft,40/W/50W/60W,AC120-277Vac,4/5/6k (Tunable),80,5200/6500/7800LM,130lm/w,0-10V,White-Aluminum,B-Level,,yes,"PIR,Microwave,Bluetooth",,,yes,,Surface/Suspension/Linkable,no kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-8FT-LS100-3W3CCT,8ft,40/W/50W/60W,AC120-277Vac,4/5/6k (Tunable),80,5200/6500/7800LM,130lm/w,0-10V,White-Aluminum,B-Level,,yes,"PIR,Microwave,Bluetooth",,,yes,,Surface/Suspension/Linkable,Linkable Kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-8FT-LS100-3W3CCT,8ft,40/W/50W/60W,AC120-277Vac,4/5/6k (Tunable),80,5200/6500/7800LM,130lm/w,0-10V,White-Aluminum,B-Level,,yes,"PIR,Microwave,Bluetooth",,,no,,Surface/Suspension/Linkable,Linkable Kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-8FT-LS100-3W3CCT,8ft,40/W/50W/60W,AC120-277Vac,4/5/6k (Tunable),80,5200/6500/7800LM,130lm/w,0-10V,White-Aluminum,Occupancy,yes,,"PIR,Microwave,Bluetooth",,,no,,Surface/Suspension/Linkable,no kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-8FT-LS100-3W3CCT,8ft,40/W/50W/60W,AC120-277Vac,4/5/6k (Tunable),80,5200/6500/7800LM,130lm/w,0-10V,White-Aluminum,Occupancy,yes,,"PIR,Microwave,Bluetooth",,,yes,,Surface/Suspension/Linkable,no kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-8FT-LS100-3W3CCT,8ft,40/W/50W/60W,AC120-277Vac,4/5/6k (Tunable),80,5200/6500/7800LM,130lm/w,0-10V,White-Aluminum,Occupancy,yes,,"PIR,Microwave,Bluetooth",,,yes,,Surface/Suspension/Linkable,Linkable Kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
LED Linear Series,Strip Light,ARVL-HY-8FT-LS100-3W3CCT,8ft,40/W/50W/60W,AC120-277Vac,4/5/6k (Tunable),80,5200/6500/7800LM,130lm/w,0-10V,White-Aluminum,Occupancy,yes,,"PIR,Microwave,Bluetooth",,,no,,Surface/Suspension/Linkable,Linkable Kit,,ETL DLC ,,85 days,https://drive.google.com/file/d/1UTYDedvNpiqThigj4wilkzc0ZPruDk0b/view?usp=drive_link,5 yr,500,$13.90 (Ningbo),,https://drive.google.com/file/d/1mGyCUK3cVz0m13EJzGd-XIVn6vQaO3J9/view?usp=sharing,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,no,no,no,no,Surface/Suspension/Continuous,no,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,no,no,no,no,Surface/Suspension/Continuous,yes,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,yes,no,no,no,Surface/Suspension/Continuous,no,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,yes,no,no,no,Surface/Suspension/Continuous,yes,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,no,no,no,yes,Surface/Suspension/Continuous,no,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,no,no,no,yes,Surface/Suspension/Continuous,yes,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,yes,no,no,yes,Surface/Suspension/Continuous,no,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,yes,no,no,yes,Surface/Suspension/Continuous,yes,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,no,no,yes,no,Surface/Suspension/Continuous,no,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,no,no,yes,no,Surface/Suspension/Continuous,yes,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,yes,no,yes,no,Surface/Suspension/Continuous,no,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,yes,no,yes,no,Surface/Suspension/Continuous,yes,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,no,no,yes,yes,Surface/Suspension/Continuous,no,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,no,no,yes,yes,Surface/Suspension/Continuous,yes,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,yes,no,yes,yes,Surface/Suspension/Continuous,no,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,yes,no,yes,yes,Surface/Suspension/Continuous,yes,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,no,yes,no,no,Surface/Suspension/Continuous,no,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
LED Linear Series,Strip Light,"DM-ST2FT24WT-35G5K-[blank, EM, MS, ES]",2ft,10w/15w/24w,AC100-277Vac,3.5/4/5k (Tunable),80,1300/1950/3120LM,130lm/w,0-10V,White/Metal/PVC,no,,,,no,yes,no,no,Surface/Suspension/Continuous,yes,,ETL DLC Premium,,75 days,https://drive.google.com/file/d/1KIAA4R1h68OPsnqewllPdU8l2Qu4B0jm/view?usp=drive_link,,TBN,$11.92 (DDP),$12.30 (DDP),https://drive.google.com/file/d/12kBc5RnM-hegmKXhNcros0q9kACMNquy/view?usp=sharing,
