Sub-Category ,Product_Name,Model_Number,Size,Power_W,Voltage,CCT,CRI_RA,Lumen,Efficacy_Lumen_per_W,Dimming_Type,Material_Finish,Sensors_and_Controls,Occupancy,Bi_Level,PIR_Microwave_Bluetooth,Remote Control,Plugin _Sensor,Emergency_Backup_Battery,Junction_Cover,Mounting,Installation_Kits,Adjustment_Dial,Certifications,Price_per_Piece,Lead_Time,Cut_Sheet,Warranty,MOQ,COST_China_DDP_USA,COST_Thailand_Vietnam,Photo,IP_Rating
LED Downlight Series,LED Ultra Slim Downlight,Special Order (Keep on list or not?),"8""",18W,AC120,"2.7-5k, Tunable",80,1440lm,70-90lm/W,Triac,White/Nickle/Black-Aluminum,N/A,N/A,N/A,,no,,,,Recessed,,,ETL ES FCC,,75 days,https://drive.google.com/file/d/1-aRBlFTfv5kaE94gUsClWAJk0Wu0Ha_8/view?usp=drive_link,5 Yr,"1,000",,$6.50,https://drive.google.com/file/d/1VJyr0VPRS4Jp7sqdVjfg6et2QPEdxcyx/view?usp=sharing,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED Downlight Series,LED Ultra Slim Downlight,PVDL-PLA02-8WE,"4""",8W,AC120v,"3-6.5k, Tunable",80,800lm,100lm/w,Triac,,N/A,N/A,N/A,,no ,,,,Recessed,,,ETL ES FCC,,75 days,,5 Yr,"5,000",$2.98,$2.98 (Vietnam),,
LED Downlight Series,LED Ultra Slim Downlight,PVDL-PLA02-12WG,"6""",12W,AC120v,"3-6.5k, Tunable",80,1200lm,100lm/w,Triac,,N/A,N/A,N/A,,no ,,,,Recessed,,,ETL ES FCC,,75 days,,5 Yr,"5,000",$3.40,$3.40 (Vietnam),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED Flush Mount Light,LED Double Ring Ceiling Light,FXF23001,10'',8/12/16W,AC120V,"2.7-5k, Tunable",80,1200lm,100lm/w  75lm/w,Triac,Brush Nickel/Metal,No,,,,,,,,Surface,,,ETL,,75 days,https://drive.google.com/file/d/1YAiWD2O-dyXLp8q6CwM4usEu2_MSVSY7/view?usp=drive_link,5 Yr,"5,000",$6.60 (Ningbo),$7.76,https://drive.google.com/file/d/1w_zTun0PWcXvB0SWsONtUQcs8Kv-4sWd/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,FXF23001,10'',8/12/16W,AC120V,"2.7-5k, Tunable",80,1200lm,100lm/w  75lm/w,Triac,Brush Nickel/Metal,B-Level,no,yes,"PIR,Microwave,Bluetooth",,,,,Surface,,,ETL,,75 days,https://drive.google.com/file/d/1YAiWD2O-dyXLp8q6CwM4usEu2_MSVSY7/view?usp=drive_link,5 Yr,"5,000",$6.60 (Ningbo),$7.76,https://drive.google.com/file/d/1w_zTun0PWcXvB0SWsONtUQcs8Kv-4sWd/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,FXF23002,12'',8/12/16W,AC120V,"2.7-5k, Tunable",80,1200lm,100lm/w  75lm/w,Triac,Brush Nickel/Metal,No,,,,,,,,Surface,,,ETL,,75 days,https://drive.google.com/file/d/1YAiWD2O-dyXLp8q6CwM4usEu2_MSVSY7/view?usp=drive_link,5 Yr,"5,000",$8.20 (Ningbo),$9.65,https://drive.google.com/file/d/1w_zTun0PWcXvB0SWsONtUQcs8Kv-4sWd/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,FXF23002,12'',8/12/16W,AC120V,"2.7-5k, Tunable",80,1200lm,100lm/w  75lm/w,Triac,Brush Nickel/Metal,B-Level,no,yes,"PIR,Microwave,Bluetooth",,,,,Surface,,,ETL,,75 days,https://drive.google.com/file/d/1YAiWD2O-dyXLp8q6CwM4usEu2_MSVSY7/view?usp=drive_link,5 Yr,"5,000",$8.20 (Ningbo),$9.65,https://drive.google.com/file/d/1w_zTun0PWcXvB0SWsONtUQcs8Kv-4sWd/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,FXF23003,"14""",12/16/22W,AC120V,"2.7-5k, Tunable",80,1650lm,100lm/w  75lm/w,Triac,Brush Nickel/Metal,No,,,,,,,,Surface,,,ETL,,75 days,https://drive.google.com/file/d/1YAiWD2O-dyXLp8q6CwM4usEu2_MSVSY7/view?usp=drive_link,5 Yr,"5,000",$9.40 (Ningbo),$11.06,https://drive.google.com/file/d/1w_zTun0PWcXvB0SWsONtUQcs8Kv-4sWd/view?usp=sharing,
